[[ue Tun 19 11:49:45 2018] [10068] /5 D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime2] ur: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtimei=/, i=/, method=GET, c
l=0]
[Tue Jun 19 12:42:30 2018] [1252] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:30 2018] [5664] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:31 2018] [352] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:42 2018] [6984] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:50 2018] [9592] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:51 2018] [3828] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:51 2018] [7984] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:59 2018] [3588] /: D:/openServer/domains/catss/./classes/site.p(634:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:59 2018] [10068] /: D:/openServer/domains/catss/./classes/site.p(634:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:43:00 2018] [1072] /: D:/openServer/domains/catss/./classes/site.p(634:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:43:00 2018] [9720] /: D:/openServer/domains/catss/./classes/site.p(634:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
